final_state	final_gen	BL_start	start_pop_tot	start_pond_pop	colonies_at_BL_start	colonies_at_end	BL_peak	total_ponds
590	3	65	9	335	3	9	127	245	130
591	3	26	10	343	1	6	14	2	56
592	3	16	6	281	1	3	7	1	124
593	3	11	5	440	1	9	17	1	139
594	3	19	14	228	3	7	12	1	74
595	3	9	6	320	1	8	12	1	149
596	3	9	7	205	2	9	11	0	98
597	3	13	5	204	1	7	10	1	61
598	3	26	7	512	1	8	30	4	118
599	3	14	11	352	1	12	13	1	113
600	3	8	7	283	1	4	3	0	71
601	3	11	5	250	1	7	11	1	82
602	3	9	7	215	1	5	5	1	71
603	3	10	7	235	1	8	15	1	134
604	3	20	19	309	1	9	8	0	59
605	3	13	12	824	1	4	3	0	78
606	3	11	9	273	1	13	16	1	149
607	3	7	6	534	1	5	5	0	124
608	3	10	9	277	1	10	12	0	127
609	3	16	15	491	1	5	4	0	91
610	3	15	13	403	1	10	10	1	85
611	3	9	8	301	1	13	15	0	142
612	3	14	11	283	1	12	10	1	57
613	3	14	8	200	2	5	9	1	109
614	3	11	9	247	1	11	12	1	126
615	3	10	9	215	1	6	6	0	124
616	3	11	10	265	1	13	12	0	149
617	3	7	6	201	1	8	9	0	81
618	3	27	5	288	1	9	55	36	132
619	3	14	9	383	1	11	14	1	99
620	3	11	8	219	1	7	12	1	130
621	3	13	11	353	3	9	11	0	117
622	3	7	6	233	1	10	10	0	122
623	3	21	6	336	1	3	11	5	68
624	3	14	11	468	2	11	13	1	134
625	3	36	12	347	2	5	20	1	97
626	3	17	10	323	1	7	11	1	102
627	3	23	9	339	2	7	24	24	90
628	3	14	6	224	1	7	15	1	81
629	3	23	7	450	1	8	36	1	107
630	3	9	8	286	1	8	9	0	87
631	3	17	10	957	1	6	6	1	65
632	3	12	8	416	1	3	3	1	55
633	3	24	8	325	1	5	20	1	124
634	3	11	6	550	1	8	8	1	99
635	3	7	6	422	1	6	6	0	60
636	3	24	19	220	1	11	13	1	87
637	3	14	8	579	1	8	19	1	124
638	3	17	6	283	1	8	23	1	145
639	3	32	13	368	4	8	21	71	54
640	3	16	14	304	2	5	7	1	70
641	3	15	13	348	1	8	10	1	139
642	3	13	9	212	2	7	10	1	61
643	3	13	9	333	1	5	8	1	60
644	3	23	6	211	1	7	21	23	125
645	3	9	5	218	2	5	6	1	87
646	3	14	12	229	1	12	14	1	132
647	3	9	6	244	1	7	9	1	56
648	3	21	19	247	1	7	9	1	70
649	3	15	5	210	3	5	9	1	105
650	3	23	10	254	2	8	30	1	133
651	3	44	8	248	2	6	84	117	120
652	3	8	6	209	1	9	9	1	92
653	3	7	6	212	1	7	9	0	146
654	3	13	11	341	1	6	5	1	63
655	3	6	5	214	1	5	4	0	92
656	3	49	12	209	2	8	94	42	115
657	3	14	12	288	1	12	15	1	103
658	3	92	6	435	1	6	53	301	56
659	3	17	10	214	1	9	26	1	135
660	3	534	6	483	1	5	147	1333	147
661	3	15	10	203	1	5	9	1	111
662	3	13	7	272	1	5	13	1	143
663	3	12	11	329	1	9	8	0	133
664	3	9	8	532	2	6	9	0	131
665	3	32	23	297	4	5	12	1	103
666	3	15	13	442	1	5	5	1	64
667	3	8	7	245	1	10	9	0	145
668	3	9	8	228	1	6	6	0	54
669	3	10	7	241	1	7	8	1	132
670	3	14	10	338	1	10	14	1	146
671	3	22	11	231	1	10	22	2	92
672	3	18	15	210	1	10	13	1	150
673	3	12	11	238	1	10	10	0	111
674	3	20	10	335	1	10	17	1	123
675	3	31	10	222	2	7	40	3	116
676	3	10	5	314	1	7	9	1	109
677	3	22	7	430	1	5	24	5	73
678	3	22	6	319	1	9	28	1	122
679	3	13	6	268	1	7	14	1	73
680	3	24	19	382	3	9	12	1	117
681	3	16	8	253	1	10	21	1	85
682	3	13	11	394	3	8	9	0	107
683	3	10	7	508	2	5	5	1	52
684	3	14	11	246	2	10	14	1	94
